"address","address_lat","address_lng","nearest_mrt_name","distance_to_nearest_mrt"
"324 ANG MO KIO AVENUE 3",1.3683192,103.8468308,"Ang Mo Kio",446
"131 ANG MO KIO AVENUE 3",1.3710406,103.8417796,"Mayflower",1100
"204 ANG MO KIO AVENUE 3",1.3671927,103.8441092,"Ang Mo Kio",1339
"210 ANG MO KIO AVENUE 3",1.3686147,103.8432282,"Ang Mo Kio",1266
"344 ANG MO KIO AVENUE 3",1.3679932,103.8492009,"Ang Mo Kio",296
"325 ANG MO KIO AVENUE 3",1.3679324,103.8471233,"Ang Mo Kio",437
"102 ANG MO KIO AVENUE 3",1.3706165,103.8392433,"Mayflower",563
"428 ANG MO KIO AVENUE 3",1.3689848,103.8543781,"Ang Mo Kio",628
"572 ANG MO KIO AVENUE 3",1.3703091,103.8558394,"Ang Mo Kio",754
"231 ANG MO KIO AVENUE 3",1.3688328,103.8372952,"Mayflower",494
"234 ANG MO KIO AVENUE 3",1.3671867,103.8366193,"Mayflower",1020
"209 ANG MO KIO AVENUE 3",1.368982,103.8432287,"Ang Mo Kio",1271
"229 ANG MO KIO AVENUE 3",1.3690835,103.8382463,"Mayflower",583
"427 ANG MO KIO AVENUE 3",1.3693543,103.8544607,"Ang Mo Kio",525
"103 ANG MO KIO AVENUE 3",1.3710627,103.8390449,"Mayflower",451
"327 ANG MO KIO AVENUE 3",1.3670717,103.8469641,"Ang Mo Kio",573
"429 ANG MO KIO AVENUE 3",1.3691289,103.8533671,"Ang Mo Kio",563
"426 ANG MO KIO AVENUE 3",1.3695083,103.8531928,"Ang Mo Kio",372
"573 ANG MO KIO AVENUE 3",1.3705823,103.854848,"Ang Mo Kio",591
"214 ANG MO KIO AVENUE 3",1.3674178,103.8411344,"Mayflower",1170
"312 ANG MO KIO AVENUE 3",1.3662195,103.8487765,"Ang Mo Kio",572
"173 ANG MO KIO AVENUE 4",1.3753976,103.8360724,"Mayflower",487
"175 ANG MO KIO AVENUE 4",1.3757538,103.8369774,"Mayflower",404
"118 ANG MO KIO AVENUE 4",1.3732764,103.8354384,"Mayflower",383
"171 ANG MO KIO AVENUE 4",1.3749981,103.8354837,"Mayflower",399
"619 ANG MO KIO AVENUE 4",1.3786251,103.8386312,"Mayflower",869
